name,subNum,subInit,design_values,pacman_initial_grid_x,pacman_initial_grid_y,bean_1_initial_grid_x,bean_1_initial_grid_y,bean_2_initial_grid_x,bean_2_initial_grid_y,end_condition_reason,noise_point_list,pacman_trajectory,step,second_order_intention,last_corrected_intention,second_order_intention_list,reaction_time,total_trial_time,star_grid_x,star_grid_y,condition,action
chenyilin,2,e,47,12,10,15,12,6,11,bean_1_eaten,[3],"[(12.0, 10.0), [13.0, 10.0], [14.0, 10.0], [13.0, 10.0], [13.0, 11.0], [13.0, 12.0], [14.0, 12.0], [15.0, 12.0]]",7,1,1,"[1, 1, 0, 0, 1, 1, 1]","[0.9813759326934814, 0.31874823570251465, 1.454007863998413, 0.6894915103912354, 0.3662593364715576, 0.47133445739746094, 0.3112192153930664]",7.601021766662598,11,11,text:'unequal_distance',"[[1.0, 0.0], [1.0, 0.0], [0.0, 1.0], [0.0, 1.0], [0.0, 1.0], [1.0, 0.0], [1.0, 0.0]]"
chenyilin,2,e,23,0,10,19,8,10,19,bean_2_eaten,"[1, 16]","[(0.0, 10.0), [0.0, 11.0], [1.0, 11.0], [2.0, 11.0], [3.0, 11.0], [4.0, 11.0], [5.0, 11.0], [6.0, 11.0], [7.0, 11.0], [7.0, 12.0], [7.0, 13.0], [7.0, 14.0], [7.0, 15.0], [7.0, 16.0], [7.0, 17.0], [7.0, 18.0], [7.0, 19.0], [8.0, 19.0], [9.0, 19.0], [10.0, 19.0]]",19,2,2,"[0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 2, 2, 2, 2, 2, 0, 0, 0, 0]","[1.0874032974243164, 0.26116514205932617, 0.20664596557617188, 0.2131514549255371, 0.19313764572143555, 0.20514559745788574, 0.22666120529174805, 0.2602040767669678, 0.40529298782348633, 0.2161264419555664, 0.1781294345855713, 0.20614361763000488, 0.21565461158752441, 0.48236560821533203, 0.9441678524017334, 2.7394251823425293, 0.964181661605835, 0.3077390193939209, 0.1670989990234375]",12.48944878578186,10,9,text:'unequal_distance',"[[1.0, 0.0], [1.0, 0.0], [1.0, 0.0], [1.0, 0.0], [1.0, 0.0], [1.0, 0.0], [1.0, 0.0], [1.0, 0.0], [0.0, 1.0], [0.0, 1.0], [0.0, 1.0], [0.0, 1.0], [0.0, 1.0], [0.0, 1.0], [0.0, 1.0], [1.0, 0.0], [1.0, 0.0], [1.0, 0.0], [1.0, 0.0]]"
chenyilin,2,e,37,9,3,15,4,10,9,bean_2_eaten,"[2, 3, 7, 10, 11, 14, 16]","[(9.0, 3.0), [10.0, 3.0], [10.0, 2.0], [9.0, 2.0], [9.0, 3.0], [9.0, 4.0], [9.0, 5.0], [8.0, 5.0], [9.0, 5.0], [10.0, 5.0], [10.0, 4.0], [9.0, 4.0], [9.0, 5.0], [9.0, 6.0], [8.0, 6.0], [9.0, 6.0], [9.0, 7.0], [9.0, 8.0], [9.0, 9.0], [10.0, 9.0]]",19,1,2,"[0, 1, 0, 0, 0, 2, 2, 0, 0, 2, 2, 2, 2, 2, 0, 0, 2, 2, 0]","[1.1383044719696045, 0.3932769298553467, 1.9083561897277832, 0.18663358688354492, 0.4007847309112549, 0.20414161682128906, 0.19016194343566895, 0.7940402030944824, 0.23416423797607422, 0.36775946617126465, 0.4092903137207031, 0.2011425495147705, 0.3682830333709717, 0.3662433624267578, 0.5093836784362793, 0.2641613483428955, 0.4248030185699463, 0.5569169521331787, 0.2666664123535156]",12.19393825531006,10,4,text:'unequal_distance',"[[1.0, 0.0], [1.0, 0.0], [0.0, 1.0], [0.0, 1.0], [0.0, 1.0], [0.0, 1.0], [0.0, 1.0], [1.0, 0.0], [1.0, 0.0], [0.0, 1.0], [0.0, 1.0], [0.0, 1.0], [0.0, 1.0], [0.0, 1.0], [1.0, 0.0], [1.0, 0.0], [0.0, 1.0], [0.0, 1.0], [1.0, 0.0]]"
chenyilin,2,e,29,8,8,11,12,9,14,bean_2_eaten,"[2, 8, 11, 12, 13, 15]","[(8.0, 8.0), [8.0, 9.0], [7.0, 9.0], [7.0, 10.0], [7.0, 11.0], [7.0, 12.0], [8.0, 12.0], [9.0, 12.0], [9.0, 13.0], [10.0, 13.0], [11.0, 13.0], [10.0, 13.0], [9.0, 13.0], [9.0, 12.0], [9.0, 13.0], [8.0, 13.0], [8.0, 14.0], [9.0, 14.0]]",17,1,2,"[0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 2, 2, 2, 2, 0]","[1.6231706142425537, 0.28968143463134766, 0.22668743133544922, 0.3317086696624756, 0.23816895484924316, 0.6019270420074463, 0.3002150058746338, 0.2947113513946533, 0.22815847396850586, 1.5235836505889893, 0.37776684761047363, 0.8976395130157471, 1.4580531120300293, 0.8185586929321289, 0.2702155113220215, 0.7760274410247803, 0.3988075256347656]",13.664129734039312,9,12,text:'unequal_distance',"[[0.0, 1.0], [0.0, 1.0], [0.0, 1.0], [0.0, 1.0], [0.0, 1.0], [1.0, 0.0], [1.0, 0.0], [1.0, 0.0], [1.0, 0.0], [1.0, 0.0], [0.0, -1.0], [1.0, 0.0], [0.0, 1.0], [0.0, 1.0], [0.0, 1.0], [0.0, 1.0], [1.0, 0.0]]"
chenyilin,2,e,58,5,4,8,6,3,5,bean_2_eaten,"[1, 5]","[(5.0, 4.0), [6.0, 4.0], [5.0, 4.0], [4.0, 4.0], [3.0, 4.0], [3.0, 3.0], [3.0, 4.0], [3.0, 5.0]]",7,2,2,"[2, 2, 2, 2, 0, 0, 0]","[2.219127655029297, 0.838592529296875, 0.29770708084106445, 0.3452272415161133, 0.3212308883666992, 0.5123636722564697, 0.2852017879486084]",7.829002380371094,6,5,text:'unequal_distance',"[[-1.0, 0.0], [-1.0, 0.0], [-1.0, 0.0], [-1.0, 0.0], [0.0, 1.0], [0.0, 1.0], [0.0, 1.0]]"
chenyilin,2,e,43,6,17,0,11,10,11,bean_2_eaten,"[4, 10]","[(6.0, 17.0), [6.0, 16.0], [6.0, 15.0], [6.0, 14.0], [6.0, 13.0], [7.0, 13.0], [8.0, 13.0], [9.0, 13.0], [10.0, 13.0], [10.0, 12.0], [11.0, 12.0], [11.0, 11.0], [10.0, 11.0]]",12,2,2,"[0, 0, 0, 2, 2, 2, 2, 2, 0, 0, 0, 0]","[1.494056224822998, 0.31021881103515625, 0.1876363754272461, 0.8180809020996094, 0.8000645637512207, 0.4212985038757324, 0.34874987602233887, 0.34174609184265137, 0.5573911666870117, 0.2536783218383789, 1.5661113262176514, 0.8035755157470703]",10.91115546226501,5,11,text:'unequal_distance',"[[0.0, -1.0], [0.0, -1.0], [0.0, -1.0], [1.0, 0.0], [1.0, 0.0], [1.0, 0.0], [1.0, 0.0], [1.0, 0.0], [0.0, -1.0], [0.0, -1.0], [0.0, -1.0], [-1.0, 0.0]]"
chenyilin,2,e,12,18,6,16,12,11,3,bean_1_eaten,"[2, 4]","[(18.0, 6.0), [17.0, 6.0], [17.0, 5.0], [16.0, 5.0], [17.0, 5.0], [17.0, 6.0], [17.0, 7.0], [17.0, 8.0], [17.0, 9.0], [17.0, 10.0], [16.0, 10.0], [16.0, 11.0], [16.0, 12.0]]",12,1,1,"[0, 0, 0, 1, 1, 1, 1, 1, 1, 0, 1, 1]","[1.1118831634521484, 0.3027219772338867, 0.4713428020477295, 1.0562324523925781, 0.2156531810760498, 0.19463801383972168, 0.19968652725219727, 0.20165181159973145, 0.3012046813964844, 1.0427393913269043, 0.24967718124389648, 0.23569083213806152]",8.591976881027223,16,5,text:'unequal_distance',"[[-1.0, 0.0], [-1.0, 0.0], [-1.0, 0.0], [0.0, 1.0], [0.0, 1.0], [0.0, 1.0], [0.0, 1.0], [0.0, 1.0], [0.0, 1.0], [-1.0, 0.0], [0.0, 1.0], [0.0, 1.0]]"
chenyilin,2,e,48,18,3,14,10,17,13,bean_2_eaten,"[7, 8, 12, 15]","[(18.0, 3.0), [18.0, 4.0], [18.0, 5.0], [18.0, 6.0], [18.0, 7.0], [18.0, 8.0], [18.0, 9.0], [17.0, 9.0], [18.0, 9.0], [18.0, 10.0], [18.0, 11.0], [18.0, 12.0], [18.0, 13.0], [18.0, 14.0], [17.0, 14.0], [18.0, 14.0], [18.0, 13.0], [17.0, 13.0]]",17,2,2,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 0, 0, 0, 0, 0, 0]","[2.221550703048706, 0.30571889877319336, 0.21966052055358887, 0.2296736240386963, 0.21765804290771484, 0.2241356372833252, 0.24717450141906738, 0.7235376834869385, 0.25916051864624023, 0.3732626438140869, 0.3257603645324707, 0.5838038921356201, 0.17914485931396484, 1.016725778579712, 0.3257129192352295, 0.870612382888794, 0.289703369140625]",11.62201929092407,17,10,text:'unequal_distance',"[[0.0, 1.0], [0.0, 1.0], [0.0, 1.0], [0.0, 1.0], [0.0, 1.0], [0.0, 1.0], [0.0, 1.0], [0.0, 1.0], [0.0, 1.0], [0.0, 1.0], [0.0, 1.0], [-1.0, 0.0], [0.0, 1.0], [-1.0, 0.0], [0.0, -1.0], [0.0, -1.0], [-1.0, 0.0]]"
chenyilin,2,e,27,20,18,15,8,20,5,bean_2_eaten,"[5, 7, 10, 11, 14, 16, 20, 22, 23, 26]","[(20.0, 18.0), [20.0, 17.0], [20.0, 16.0], [20.0, 15.0], [20.0, 14.0], [20.0, 14.0], [20.0, 13.0], [20.0, 13.0], [20.0, 12.0], [20.0, 11.0], [19.0, 11.0], [19.0, 12.0], [19.0, 11.0], [19.0, 10.0], [18.0, 10.0], [18.0, 9.0], [19.0, 9.0], [19.0, 8.0], [19.0, 7.0], [19.0, 6.0], [18.0, 6.0], [19.0, 6.0], [18.0, 6.0], [17.0, 6.0], [18.0, 6.0], [19.0, 6.0], [18.0, 6.0], [19.0, 6.0], [20.0, 6.0], [20.0, 5.0]]",29,2,2,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]","[1.857851266860962, 0.19413971900939941, 0.17964720726013184, 0.17110037803649902, 0.18265414237976074, 0.20111751556396484, 0.19816374778747559, 0.22213482856750488, 0.22818422317504883, 0.20615029335021973, 0.23314309120178223, 0.25170278549194336, 0.2236320972442627, 0.21665692329406738, 0.2371687889099121, 0.23566794395446777, 0.2511744499206543, 0.20764756202697754, 0.414811372756958, 0.2912149429321289, 0.2131519317626953, 0.5833899974822998, 0.19213604927062988, 0.40478515625, 0.24918198585510254, 0.22515583038330078, 0.40030527114868164, 0.23564529418945312, 0.3857748508453369]",12.1024854183197,19,8,text:'unequal_distance',"[[0.0, -1.0], [0.0, -1.0], [0.0, -1.0], [0.0, -1.0], [0.0, -1.0], [0.0, -1.0], [0.0, -1.0], [0.0, -1.0], [0.0, -1.0], [0.0, -1.0], [0.0, -1.0], [0.0, -1.0], [0.0, -1.0], [0.0, -1.0], [0.0, -1.0], [0.0, -1.0], [0.0, -1.0], [0.0, -1.0], [0.0, -1.0], [0.0, -1.0], [1.0, 0.0], [1.0, 0.0], [0.0, -1.0], [1.0, 0.0], [1.0, 0.0], [1.0, 0.0], [1.0, 0.0], [1.0, 0.0], [0.0, -1.0]]"
chenyilin,2,e,17,5,13,15,19,12,2,bean_2_eaten,"[1, 5, 6, 7, 8, 11, 12, 18, 19, 23, 26, 27, 33, 34, 36]","[(5.0, 13.0), [5.0, 12.0], [6.0, 12.0], [7.0, 12.0], [8.0, 12.0], [8.0, 11.0], [7.0, 11.0], [7.0, 12.0], [7.0, 11.0], [8.0, 11.0], [9.0, 11.0], [8.0, 11.0], [7.0, 11.0], [8.0, 11.0], [9.0, 11.0], [10.0, 11.0], [11.0, 11.0], [12.0, 11.0], [11.0, 11.0], [12.0, 11.0], [12.0, 10.0], [12.0, 9.0], [12.0, 8.0], [11.0, 8.0], [11.0, 7.0], [11.0, 6.0], [11.0, 7.0], [11.0, 8.0], [11.0, 7.0], [11.0, 6.0], [11.0, 5.0], [11.0, 4.0], [11.0, 3.0], [10.0, 3.0], [9.0, 3.0], [9.0, 2.0], [9.0, 3.0], [10.0, 3.0], [11.0, 3.0], [12.0, 3.0], [12.0, 2.0]]",40,2,2,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 0, 2, 2, 0, 0, 0, 0, 2]","[1.4159748554229736, 0.22415900230407715, 0.22866392135620117, 0.21359467506408691, 0.24267077445983887, 0.23416638374328613, 0.2602066993713379, 0.2871823310852051, 0.2521791458129883, 0.2386949062347412, 0.24965167045593262, 0.24517321586608887, 0.2491893768310547, 0.2932169437408447, 0.22313690185546875, 0.36878514289855957, 0.4017655849456787, 2.7064177989959717, 0.239668607711792, 0.2787001132965088, 0.24567461013793945, 0.2326641082763672, 0.22616100311279297, 0.23919463157653809, 0.2646610736846924, 0.26018834114074707, 0.24267101287841797, 0.26168346405029297, 0.24517345428466797, 0.22015690803527832, 0.238677978515625, 0.4308197498321533, 0.34972453117370605, 0.22766375541687012, 0.8380992412567139, 0.3762683868408203, 0.19513225555419922, 0.2726936340332031, 0.22416114807128906, 0.3952791690826416]",17.8501193523407,12,12,text:'unequal_distance',"[[1.0, 0.0], [1.0, 0.0], [1.0, 0.0], [1.0, 0.0], [1.0, 0.0], [1.0, 0.0], [1.0, 0.0], [1.0, 0.0], [1.0, 0.0], [1.0, 0.0], [1.0, 0.0], [1.0, 0.0], [1.0, 0.0], [1.0, 0.0], [1.0, 0.0], [1.0, 0.0], [1.0, 0.0], [0.0, -1.0], [0.0, -1.0], [0.0, -1.0], [0.0, -1.0], [0.0, -1.0], [0.0, -1.0], [0.0, -1.0], [0.0, -1.0], [0.0, -1.0], [0.0, -1.0], [0.0, -1.0], [0.0, -1.0], [0.0, -1.0], [0.0, -1.0], [0.0, -1.0], [1.0, 0.0], [0.0, -1.0], [0.0, -1.0], [1.0, 0.0], [1.0, 0.0], [1.0, 0.0], [1.0, 0.0], [0.0, -1.0]]"
